/

D D NOMBRE                         NOMBRE                         T CODIGO  DESCRIPCION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L J Laboratorio                    CITOLOGIA                      P H0018   PAP CENTRO MUCHACHO TRABAJADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L J Laboratorio                    CITOLOGIA                      P H0021   PAP FUNDACION SOL DE PRIMAVERA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L J Laboratorio                    CITOLOGIA                      P H0029   PAP HOSP SAN JOSE OBRERO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L J Laboratorio                    CITOLOGIA                      P H0027   PAP PATRONATO  MUNIC MIRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L J Laboratorio                    CITOLOGIA                      P H0011   PAP. COMITE DE AMIGOS IMBABURA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L J Laboratorio                    CITOLOGIA                      P H0012   PAP. MATERNIDAD MITAD DEL MU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L J Laboratorio                    CITOLOGIA                      P H0009   PAP. PATRONATO SAN JOSE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L J Laboratorio                    CITOLOGIA                      P H0003   PAP. PLAN VIDA UNIDAD MOVIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L J Laboratorio                    CITOLOGIA                      P H0010   PAP. UNIDAD MOVIL SOLCA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L J Laboratorio                    CITOLOGIA                      P H0014   PAP.PETROECUADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
L J Laboratorio                    CITOLOGIA                      P H0013   PAP.SUBCENTRO SAN FRANCISCO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L J Laboratorio                    CITOLOGIA                      P H0025   PAPANICOLAU UNIDAD MOVIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
L J Laboratorio                    CITOLOGIA                      P H0024   PAPANICOLAUO ANTOR VIDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L J Laboratorio                    CITOLOGIA                      P H0017   PAPANICOLAUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L J Laboratorio                    CITOLOGIA                      P H0022   PAPANICOLAUS  C.M. GONZABAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L J Laboratorio                    CITOLOGIA                      P H0008   PAPANICOLAUS PLAN VIDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L J Laboratorio                    CITOLOGIA                      P H0006   PUNCIONES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L J Laboratorio                    CITOLOGIA                      P H0028   REVISION LAMINILLA CITOLOGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L M Laboratorio                    MAMOGRAFÍA 1                   P M0007   ANCLAJE DE MAMA BILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L M Laboratorio                    MAMOGRAFÍA 1                   P M0011   ANCLAJE DE MAMA POR US                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L M Laboratorio                    MAMOGRAFÍA 1                   P M0006   ANCLAJE DE MAMA UNILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L M Laboratorio                    MAMOGRAFÍA 1                   P M0005   ESTEREOTAXIA DE MAMA (BIOPSIA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L M Laboratorio                    MAMOGRAFÍA 1                   P M0002   FOCALIZACION DE MAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L M Laboratorio                    MAMOGRAFÍA 1                   P M0001   MAMOGRAFIA BILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L M Laboratorio                    MAMOGRAFÍA 1                   P M0003   MAMOGRAFIA UNILATERAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L M Laboratorio                    MAMOGRAFÍA 1                   P M0009   MUESTRA QUIRURGICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
L N Laboratorio                    INMUNOLOGÍA                    P N0069   ALK (CD46)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
L N Laboratorio                    INMUNOLOGÍA                    P N0073   BER-EP4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L N Laboratorio                    INMUNOLOGÍA                    P N0047   CA 125                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L N Laboratorio                    INMUNOLOGÍA                    P N0048   CA 15-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L N Laboratorio                    INMUNOLOGÍA                    P N0046   CA 72-4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L N Laboratorio                    INMUNOLOGÍA                    P N0068   CD 43                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L N Laboratorio                    INMUNOLOGÍA                    P N0067   CD 79 A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L N Laboratorio                    INMUNOLOGÍA                    P N0071   CD68                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L N Laboratorio                    INMUNOLOGÍA                    P N0072   CD99                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
L N Laboratorio                    INMUNOLOGÍA                    P N0043   CEA (AN. CARCINOEMBRIONARIO)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
L N Laboratorio                    INMUNOLOGÍA                    P N0051   CYFRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L N Laboratorio                    INMUNOLOGÍA                    P N0057   HBS AG(HEPATITIS B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L N Laboratorio                    INMUNOLOGÍA                    P N0010   HCG. (SUBUNIDAD BETA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
L N Laboratorio                    INMUNOLOGÍA                    P N0055   HIV                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L N Laboratorio                    INMUNOLOGÍA                    P N0045   HTG (TIROGLOBULINA)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L N Laboratorio                    INMUNOLOGÍA                    P N0049   NSE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L N Laboratorio                    INMUNOLOGÍA                    P N0061   PROTEINA GLIOFIBRILAR ACIDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
L N Laboratorio                    INMUNOLOGÍA                    P N0050   PSA(AG. PROSTATICO ESPECIFICO)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L N Laboratorio                    INMUNOLOGÍA                    P N0038   QUERATINA (AE1/AE3)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
