/

L SE NOMBRE                                                                           SU NOMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 09 COMBUSTIBLES Y LUBRICANTES                                                       02 ACEITE PARA EQUIPOS MEDICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 09 COMBUSTIBLES Y LUBRICANTES                                                       03 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 10 UTILES Y MATERIALES ELECTRICOS                                                   01 ALAMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 10 UTILES Y MATERIALES ELECTRICOS                                                   02 BOTON DE TIMBRE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
B 10 UTILES Y MATERIALES ELECTRICOS                                                   03 COMMUTADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
B 10 UTILES Y MATERIALES ELECTRICOS                                                   04 FOCOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 10 UTILES Y MATERIALES ELECTRICOS                                                   05 INTERRUPTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
B 10 UTILES Y MATERIALES ELECTRICOS                                                   06 LAMPARAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 10 UTILES Y MATERIALES ELECTRICOS                                                   07 PILAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 10 UTILES Y MATERIALES ELECTRICOS                                                   08 TOMACORRIENTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
B 10 UTILES Y MATERIALES ELECTRICOS                                                   09 TUBO FLUORECENTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
B 10 UTILES Y MATERIALES ELECTRICOS                                                   10 TRANSFORMADOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
B 10 UTILES Y MATERIALES ELECTRICOS                                                   11 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 11 IMPRENTA  REPRODUCCION Y FOTOGRAFIA                                              01 PELICULAS FOTGRAFICAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 11 IMPRENTA  REPRODUCCION Y FOTOGRAFIA                                              02 PROTECTORES DE SLIDES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 12 SUMINISTROS NO ESPECIFICADOS                                                     01 FUNDAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 12 SUMINISTROS NO ESPECIFICADOS                                                     02 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 13 MATERIAL PARA LA CONSTRUCCION                                                    01 ANGULOS DE ALUMINIO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
B 13 MATERIAL PARA LA CONSTRUCCION                                                    02 CAÑUELAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 13 MATERIAL PARA LA CONSTRUCCION                                                    03 CEMENTO DE CONTACTO Y PEGA BLANCA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
B 13 MATERIAL PARA LA CONSTRUCCION                                                    04 CLAVOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 13 MATERIAL PARA LA CONSTRUCCION                                                    05 VINIL Y CIELO RASO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
B 13 MATERIAL PARA LA CONSTRUCCION                                                    06 LIJAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
B 13 MATERIAL PARA LA CONSTRUCCION                                                    07 PINTURAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
B 13 MATERIAL PARA LA CONSTRUCCION                                                    08 TUBO DE CEMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
B 13 MATERIAL PARA LA CONSTRUCCION                                                    09 VARIOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
B 13 MATERIAL PARA LA CONSTRUCCION                                                    10 BROCHAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
B 14 PEDIATRIA ONCOLOGICA                                                             01 JUGUETES, CUENTOS Y OTROS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 15 COMBUSTIBLES Y LUBRICANTES                                                       01 ACEITES PARA MOTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
B 15 COMBUSTIBLES Y LUBRICANTES                                                       02 ACEITES PARA INSTRUMENTAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B 15 COMBUSTIBLES Y LUBRICANTES                                                       03 ACEITES PARA EQUIPOS MEDICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
B 15 COMBUSTIBLES Y LUBRICANTES                                                       04 CERAS LUBRICANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
B 22 SECCION DE PRUEBA                                                                01 SUBSECCION DE PRUEBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
F 50 SISTEMA NERVIOSO                                                                 01 ANESTESICOS GENERALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
F 50 SISTEMA NERVIOSO                                                                 02 ANSIOLITICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 50 SISTEMA NERVIOSO                                                                 03 ANTAGONISTAS DE LAS BENZODIAZE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
F 50 SISTEMA NERVIOSO                                                                 04 ANTIEMETICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 50 SISTEMA NERVIOSO                                                                 05 ANTICONVULSIVANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
F 50 SISTEMA NERVIOSO                                                                 06 BARBITURICOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 50 SISTEMA NERVIOSO                                                                 07 CURARIZANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
F 50 SISTEMA NERVIOSO                                                                 08 ANESTESICOS LOCALES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F 50 SISTEMA NERVIOSO                                                                 09 RELAJANTES MUSCULARES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
F 50 SISTEMA NERVIOSO                                                                 10 PARASIMPATICOTONICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F 50 SISTEMA NERVIOSO                                                                 11 TRANQUILIZANTES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
F 50 SISTEMA NERVIOSO                                                                 12 MISCELANEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
